make,model,CubicCapacity,SeatingCapacity,CarringCapacity,MakeCode,ModelCode,GVW
EICHER MOTORS,20.16 H,2000,3,3,304,9275,1
ESCORTS CONSTRUCTION EQUIPMENT LTD,VIBRATORY SOIL COMPACTOR EC 5250,2000,1,1,312,11985,1
ESCORTS CONSTRUCTION EQUIPMENT LTD,HD 85 SOIL COMPACTOR,1,2,2,312,12733,1
ESCORTS CONSTRUCTION EQUIPMENT LTD,2420 STD,1,2,2,312,10659,1
ASHOK LEYLAND LTD.,2513 TUSKAR WITH AIR COMPESSOR,5300,3,3,362,11593,25200
ASHOK LEYLAND LTD.,AL BMD PUMP TRUCK,1,2,2,362,11721,0
ACTION CONSTRUCTION EQUIPMENT,ZR 150,1,1,1,294,17432,1
ASHOK LEYLAND LTD.,TAURUS 2516 BREINING MICRO SURFACING MACHINE SLURRY PAVER,5853,2,2,362,12014,25200
ASHOK LEYLAND LTD.,ALPSV 3/21 AMBULANCE,1,2,2,362,12134,1
ASHOK LEYLAND LTD.,LYNX 3/40,2000,2,2,362,12149,11000
ASHOK LEYLAND LTD.,AL 2518,5853,3,3,362,12157,1
EICHER MOTORS,11.10 DUST CART,2000,2,2,304,13066,10500
ELGIN,PELICAN ROAD SWEEPER,2000,2,2,,13067,1
AMERICAN HOIST,7260 CRAWLER CRANE,1,2,2,,12232,1
ASHOK LEYLAND LTD.,1612 CRANE,5759,3,3,362,12255,1
ACTION CONSTRUCTION EQUIPMENT,AF 50 D,1,1,1,294,12377,50000
ASHOK LEYLAND LTD.,AL 2516 SUCTION PLANT,1,2,2,362,12477,1
AKASH ENGINEERING,AE WC 2 SERIES TOILET CART,1,2,2,,12498,1
EICHER MOTORS,10.75 PUBLICITY VAN,1,3,3,304,14543,1
ESCORTS LIMITED,FT 70,2000,2,2,313,10039,1
FORCE MOTORS,CITI LINE AMBULANCE,1,6,6,314,11783,0
ACTION CONSTRUCTION EQUIPMENT,18 XW CRANE,1,2,2,294,12586,1
ASHOK LEYLAND LTD.,4921 FUEL TRANSFER DISPENSER,3698,2,2,362,12600,1
ASHOK LEYLAND LTD.,1616 H FIRE FIGHTING,3598,3,3,362,12664,1
ASHOK LEYLAND LTD.,1112 CONCRETE PUMP,1,2,2,362,12690,1
ASHOK LEYLAND LTD.,ECOMET 912 PUBLICITY VAN,4839,3,3,362,12731,9700
AMERICAN HOIST,9299 CRAWLER CRANE,1,2,2,,12756,1
ESCORTS CONSTRUCTION EQUIPMENT LTD,D 25 S-5,2500,2,2,312,11350,1
APOLLO CONSTRUCTON EQUIPMENTS PVT LTD,AP 550 PAVER,2000,1,1,432,12923,1
ACTION CONSTRUCTION EQUIPMENT,AF 20 D FORKLIFT,2000,1,1,294,12952,1
ACTION CONSTRUCTION EQUIPMENT,AF 20 E FORKLIFT,2000,1,1,294,12953,1
ASHOK LEYLAND LTD.,1613 TANK SUCTION DUMP,2000,3,3,362,13016,16200
ASHOK LEYLAND LTD.,AL 1612 WITH AIR COMPRESSOR,5883,3,3,362,13083,16200
ASHOK LEYLAND LTD.,1616 CONCRETE PUMP,5883,2,2,362,13136,16200
ASHOK LEYLAND LTD.,AL 2516 WITH COMPRESSOR,5883,3,3,362,13142,25000
ASHOK LEYLAND LTD.,AL 2214 WITH COMPRESSOR,5883,2,2,362,13143,25000
ASHOK LEYLAND LTD.,AL 1613 WITH COMPRESSOR,5883,3,3,362,13146,16200
EICHER MOTORS,10.80 GENRATOR VAN,1,2,2,304,14322,1
ASHOK LEYLAND LTD.,2516 GT MIXER,1,2,2,362,10088,25200
AJACO,AH 7500 HARVESTOR,2500,2,2,,10099,0
ASHOK LEYLAND LTD.,VACCUM TRUCK,2000,3,3,362,10184,1
ASHOK LEYLAND LTD.,SERVICER,2000,3,3,362,10185,1
ASHOK LEYLAND LTD.,1613 WITH DRILLING RIG,2000,2,2,362,10191,1
ASHOK LEYLAND LTD.,HIPPO COLES CRANE,1,2,2,362,13151,1
ACTION CONSTRUCTION EQUIPMENT,ACE DI 350 TRACTOR,2000,1,1,294,13190,1
ASHOK LEYLAND LTD.,TAURUS 2516 WITH RIG MACHINE,5883,3,3,362,13210,25000
ASHOK LEYLAND LTD.,3516 REFULLER,5883,3,3,362,13232,35200
ASHOK LEYLAND LTD.,4921 REFULLER,5883,3,3,362,13233,49200
ASHOK LEYLAND LTD.,HIPPO P-H CRANE,3598,2,2,362,13264,1
ADYA INDUSTRIES,STATIC ROAD ROLLOER,1,1,1,,13272,1
ASHOK LEYLAND LTD.,1611 SUPER FIRE FIGHTER,2000,2,2,362,13324,16200
ESCORTS CONSTRUCTION EQUIPMENT LTD,ESCORTS HD 85 COMPACTOR,1,1,1,312,15609,1
EICHER MOTORS,20.16 REFULLER,1,3,3,304,11739,1
EICHER MOTORS,10.90 MOBILE DRILLING RIGS,1,3,3,304,14393,1
FORCE MOTORS,TRAVELLER AMBULANCE,2596,10,10,314,13742,3510
ESCORTS LIMITED,FARMTRAC 70 WHEEL LOADER,1,2,2,313,15592,1
ACTION CONSTRUCTION EQUIPMENT,HYDRAULIC CRANE 100C,2000,1,1,294,10283,1
ASHOK LEYLAND LTD.,ALCO 3/1 FIRE FIGHTER,2500,2,2,362,13445,15875
ASHOK LEYLAND LTD.,2214 WITH DRILLING RIG,5883,3,3,362,13456,22000
ASHOK LEYLAND LTD.,COMET 1611 COMPRESSORS,2000,3,3,362,13577,1
ESCORTS CONSTRUCTION EQUIPMENT LTD,ESCORTS HYDRA 8,1,2,2,312,15601,1
ESCORTS CONSTRUCTION EQUIPMENT LTD,DIG MAX,1,1,1,312,15617,1
ASIA MOTORWORKS LTD,AMW 2518 6X4 TRANSIT MIXER,1,2,2,260,10580,25000
AVTAR AGRO INDUSTRIES,AVTAR 5500,2000,1,1,,13654,0
ACTION CONSTRUCTION EQUIPMENT,12E CRANE,2000,1,1,294,13709,0
FURUKAWA HYDRAULIC,DCR 20,1,1,1,228,15477,1
ATLAS COPCO,MB 1600,1,1,1,297,10614,0
ASHOK LEYLAND LTD.,TAURAS 2516 HYDRALIC CRANE,1,2,2,362,10696,0
AMERICAN HOIST,7530 CRANE,2000,2,2,,13910,0
ASHOK LEYLAND LTD.,1611 CRANE,3970,2,2,362,14009,16000
EICHER MOTORS,10.95 COMPACTOR,2000,3,3,304,9288,1
ESCORTS LIMITED,EC 5260 VIBRATORY COMPACTOR,2000,1,1,313,9234,1
FUWA HEAVY INDUSTRY CO LTD,QUY 50,1,1,1,,15694,1
FUWA HEAVY INDUSTRY CO LTD,QUY 80,1,1,1,,15695,1
ASHOK LEYLAND LTD.,SUPER COMET 1611,1,3,3,362,10915,1
ASHOK LEYLAND LTD.,1612 GARBAGE VAN,2000,3,3,362,14022,16200
ASHOK LEYLAND LTD.,2214 STEAM GENERATING,1,2,2,362,14071,1
ASHOK LEYLAND LTD.,ALPSV ECOMET 1112,1,1,1,362,14241,1
FORCE MOTORS,CRUISER AMBULANCE,2596,5,5,314,8795,1
EICHER MOTORS,11.10HD BSIII HEARSES,5853,3,3,304,11328,1
ASHOK LEYLAND LTD.,CARGO 909/1,3908,3,3,362,10944,10050
ACE,ASD 110 COMPACTOR,1,1,1,271,14313,1
ACE,ADD 35 ROAD ROLLERS,1,1,1,271,14314,1
ASIA MOTORWORKS LTD,2518 CONCRETE BOOM PUMP,1,2,2,260,14386,1
ALPHA CRANE,SG 24-30,1,1,1,365,14430,1
ASHOK LEYLAND LTD.,1612 CONCRETE PUMP,1,3,3,362,14476,16200
EICHER MOTORS,33.25 GALAXY ROLLER MIXER,2000,3,3,304,10958,1
ESCORTS CONSTRUCTION EQUIPMENT LTD,HYDRA 14  TON CRANE,2000,2,2,312,5344,1
ASHOK LEYLAND LTD.,3014 CRANE,1,1,1,362,11190,1
ASHOK LEYLAND LTD.,1616 WITH RIG,1,3,3,362,14494,1
ASHOK LEYLAND LTD.,2214 TRANSIT MIXER,1,2,2,362,14496,1
ACTION CONSTRUCTION EQUIPMENT,AF 30 D,1,1,1,294,14509,1
ACTION CONSTRUCTION EQUIPMENT,AX 130 BACK HOE LOADER,1,1,1,294,14510,1
ASIA MOTORWORKS LTD,2518 FIRE TENDER,1,2,2,260,14516,25000
ASHOK LEYLAND LTD.,1612 WITH DRILLING RIG,1,1,1,362,14561,1
ACE,110 C,1,1,1,271,14586,1
FORKLIFT LTD,FORK LIFT TRUCKS,2000,2,2,,10256,0
ASHOK LEYLAND LTD.,ECOMET 1112 CHASSIS,2000,3,3,362,11362,11500
ASHOK LEYLAND LTD.,AL CO 1611 CONCRETE PUMP,1,4,4,362,11396,16200
ESCORTS LIMITED,FARMTRAC 60 COMPRESSOR,3147,1,1,313,12248,1
ESCORTS CONSTRUCTION EQUIPMENT LTD,C 8000 CRANES,2000,1,1,312,7377,1
